LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,Cat1_AEP,Cat2_AEP,Cat3_AEP,Cat4_AEP,Cat5_AEP,bathymetry_class
-176.75,-47.25,554,1,86.740593,2.6076639,1.0564275,0.0593161,0.0400496,,,-100
-176.75,-46.75,554,1,91.0900726,2.8743377,1.1154639,0.0297286,0.0330909,,,-100
-176.75,-46.25,554,1,79.9349442,3.0357945,1.1621354,0.0676769,0.031979,0.0162632,,-100
-176.75,-45.75,554,1,78.59272,3.2759042,1.3566589,0.0651424,0.0306611,0.0175164,,-100
-176.75,-45.25,554,1,83.5582428,3.5236969,1.3597033,0.046389,0.0339723,0.019526,,-100
-176.75,-44.75,554,1,80.953804,3.7554338,1.4284912,0.0465061,0.0331678,0.0200525,,-100
-176.75,-44.25,554,1,83.4140244,3.7696071,1.420441,0.055983,0.0287714,0.0201705,,-30
-176.75,-43.75,554,1,80.5527267,3.8695507,1.4408245,0.0409999,0.0291919,0.0211905,,-100
-176.75,-43.25,554,1,79.7761307,3.7833745,1.4716692,0.0344443,0.0279601,0.0192796,,-100
-176.75,-42.75,554,1,79.0184021,4.0315623,1.4282647,0.044205,0.0229299,0.0157768,,-100
-176.75,-42.25,554,1,82.823143,4.2785192,1.5210679,0.0354268,0.0189718,0.0128603,,-100
-176.75,48.25,959,1,116.8637772,1.4023434,0.814416,0.1831296,0.0311478,0.0129037,,-100
-176.75,48.75,959,1,113.6128769,1.364897,0.8398204,0.1430656,0.034913,0.0159875,,-100
-176.75,52.75,959,1,106.1105576,1.1670234,0.6322832,0.0926199,0.0182347,,,-100
-176.75,55.25,959,1,106.371727,1.0016295,0.5722053,0.104075,0.0163508,,,-100
-176.75,57.25,959,1,107.9989624,0.8883171,0.4791063,0.0692704,0.0169518,0.0125712,,-100
-176.75,57.75,959,1,115.8235092,0.8423281,0.4867514,0.0768807,0.0194894,0.0123734,,-100
-176.75,58.25,959,1,112.4087219,0.8152765,0.474798,0.0815729,0.0154788,,,-100
-176.75,58.75,959,1,119.2833862,0.732347,0.4094709,0.0756293,0.0141859,,,-100
-176.75,59.25,959,1,116.5833282,0.564607,0.3518209,0.0559961,0.0157749,,,-100
-176.75,59.75,649,1,116.5833282,0.4430188,0.2299009,0.0334867,0.0171193,0.0131993,,-100
-176.75,60.25,649,1,119.2833862,,,,,,,-100
-176.75,60.75,649,1,,,,,,,,-100
-176.75,61.25,649,1,,,,,,,,-100
-176.75,61.75,649,1,,,,,,,,-100
-176.75,62.25,649,1,,,,,,,,-50
-176.75,62.75,649,1,,,,,,,,-50
-176.75,63.25,649,1,,,,,,,,-50
-176.75,63.75,649,1,,,,,,,,-50
-176.75,64.25,649,1,,,,,,,,-50
-176.75,64.75,649,1,,,,,,,,-30
-176.75,65.25,649,1,,,,,,,,5
-176.75,68.25,913,1,,,,,,,,-30
-176.75,68.75,913,1,,,,,,,,-30
-176.75,69.25,913,1,,,,,,,,-50
-176.25,-51.25,554,1,61.3079071,1.8724823,0.8738481,0.0760226,0.0174752,,,-100
-176.25,-50.25,554,1,75.3893433,2.0763652,0.9299934,0.0952309,0.0187955,,,-100
-176.25,-49.75,554,1,75.3893433,2.0589492,0.9857599,0.0679642,0.0141001,,,-100
-176.25,-49.25,554,1,80.4606628,2.3338962,0.9420209,0.0647327,0.0339586,,,-100
-176.25,-48.75,554,1,80.4606628,2.2572119,0.9214093,0.0325519,0.0292178,,,-100
-176.25,-48.25,554,1,90.6561432,2.4198225,0.9927791,0.0479285,0.0280677,,,-100
-176.25,-47.75,554,1,90.6561432,2.5757961,0.9635658,0.0409747,0.0291082,,,-100
-176.25,-47.25,554,1,86.740593,2.6592736,1.1063174,0.0409373,0.0315537,,,-100
