LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-176.75,-49.75,554,1,67.5359116,2.0505402,-100,3,5.703281615
-176.75,-49.25,554,1,80.4606628,2.1423306,-100,3,6.399011396
-176.75,-48.75,554,1,76.8224716,2.3072214,-100,3,6.181518605
-176.75,-48.25,554,1,90.6561432,2.4180684,-100,3,7.314705479
-176.75,-47.75,554,1,93.0741425,2.4555104,-100,3,7.497597144
-176.75,-47.25,554,1,86.740593,2.6076639,-100,3,7.110805987
-176.75,-46.75,554,1,91.0900726,2.8743377,-100,3,7.451874228
-176.75,-46.25,554,1,79.9349442,3.0357945,-100,3,6.649869559
-176.75,-45.75,554,1,78.59272,3.2759042,-100,3,6.62268296
-176.75,-45.25,554,1,83.5582428,3.5236969,-100,3,7.124399286
-176.75,-44.75,554,1,80.953804,3.7554338,-100,3,6.971165728
-176.75,-44.25,554,1,83.4140244,3.7696071,-30,3,9.085541672
-176.75,-43.75,554,1,80.5527267,3.8695507,-100,3,6.953865165
-176.75,-43.25,554,1,79.7761307,3.7833745,-100,3,6.842647261
-176.75,-42.75,554,1,79.0184021,4.0315623,-100,3,6.832761225
-176.75,-42.25,554,1,82.823143,4.2785192,-100,3,7.170122202
-176.75,48.25,959,1,116.8637772,1.4023434,-100,3,7.894274337
-176.75,48.75,959,1,113.6128769,1.364897,-100,3,7.715089935
-176.75,52.75,959,1,106.1105576,1.1670234,-100,3,7.107098723
-176.75,55.25,959,1,106.371727,1.0016295,-100,3,6.810517644
-176.75,57.25,959,1,107.9989624,0.8883171,-100,3,6.681999176
-176.75,57.75,959,1,115.8235092,0.8423281,-100,3,7.098448442
-176.75,58.25,959,1,112.4087219,0.8152765,-100,3,6.824110943
-176.75,58.75,959,1,119.2833862,0.732347,-100,3,7.06508307
-176.75,59.25,959,1,116.5833282,0.564607,-100,3,6.621447206
-176.75,59.75,649,1,116.5833282,0.4430188,-100,3,6.436084031
-176.75,60.25,649,1,119.2833862,NA,-100,2,8.47075381
-176.25,-51.25,554,1,61.3079071,1.8724823,-100,3,5.314018948
-176.25,-50.25,554,1,75.3893433,2.0763652,-100,3,6.025813538
-176.25,-49.75,554,1,75.3893433,2.0589492,-100,3,6.023342029
-176.25,-49.25,554,1,80.4606628,2.3338962,-100,3,6.469449403
-176.25,-48.75,554,1,80.4606628,2.2572119,-100,3,6.428669504
-176.25,-48.25,554,1,90.6561432,2.4198225,-100,3,7.318412742
-176.25,-47.75,554,1,90.6561432,2.5757961,-100,3,7.354249622
-176.25,-47.25,554,1,86.740593,2.6592736,-100,3,7.116984759
-176.25,-46.75,554,1,86.740593,3.0033169,-100,3,7.203487574
-176.25,-46.25,554,1,79.9349442,3.1787813,-100,3,6.724014829
-176.25,-45.75,554,1,79.9349442,3.352283,-100,3,6.761087464
-176.25,-45.25,554,1,83.5582428,3.6934083,-100,3,7.140464094
-176.25,-44.75,554,1,83.5582428,3.9974651,-100,3,7.193601538
-176.25,-44.25,554,1,83.4140244,3.9289043,5,3,9.296855691
-176.25,-43.75,554,1,83.4140244,4.0778685,-100,3,7.187422765
-176.25,-43.25,554,1,79.7761307,4.1763339,-100,3,6.91926404
-176.25,-42.75,554,1,79.7761307,4.3054657,-100,3,6.934093094
-176.25,-42.25,554,1,82.823143,4.5537105,-100,3,7.192365783
-176.25,48.25,959,1,117.4703903,1.5337176,-100,3,8.146368255
-176.25,48.75,959,1,113.6128769,1.4841989,-100,3,7.86461623
-176.25,50.25,959,1,110.3660889,1.400493,-100,3,7.647123438
-176.25,50.75,959,1,111.0985565,1.4464592,-100,3,7.705203899
-176.25,51.25,959,1,111.0985565,1.4099756,-100,3,7.673074283
-176.25,52.25,959,1,108.591095,1.2707565,-100,3,7.388850748
-176.25,52.75,959,1,106.1105576,1.2623508,-100,3,7.259096526
-176.25,54.25,959,1,107.4475708,1.2813514,-100,3,7.351778113
-176.25,54.75,959,1,108.5188141,1.2472017,-100,3,7.345599341
-176.25,55.25,959,1,108.5188141,1.1933759,-100,3,7.264039544
-176.25,55.75,959,1,109.3904953,1.1344237,-100,3,7.219552382
-176.25,56.25,959,1,109.3904953,1.0917522,-100,3,7.152821639
-176.25,56.75,959,1,110.0844574,1.042892,-100,3,7.11451325
