Unit_ID,Unit_Name,Country_Area,Status,Production_start_year,Operator,Latitude,Longitude,Cat_3,Bathymetry_class,RiskScore
OG0012406,Lulu,Kuwait-Saudi Arabia-Iran,operating,NA,Khafji Joint Operations,28.7747,49.508,0.0240358,-30,5.157142857
OG0010854,Jinzhou 25-1S,China,operating,2009,CNOOC Limited,40.76503304,123.1253357,0.1395158,5,9.278571429
OG0010856,Jinzhou 25-1,China,operating,2020,CNOOC Limited,40.76503304,123.1253357,0.1395158,5,9.278571429
OG0010880,Penglai 19-3 Area 5/10,China,operating,2020,CNOOC Limited,38.283,120.017,0.1374323,-20,8.814285714
OG0010881,Luda 21-2/16-3,China,operating,2020,CNOOC Limited,39.7,120.5,0.1129243,-20,8.764285714
OG0010882,Bozhong 19-6,China,operating,2023,CNOOC Limited,38.50735774,119.2016169,0.0861148,-20,8.521428571
OG0010885,Caofeidian 6-4,China,operating,2021,CNOOC Limited,38.50735774,119.2016169,0.0861148,-20,8.521428571
OG0010886,Caofeidian 11-6,China,operating,2006,CNOOC Limited,38.74,118.89,0.0845657,-20,8.471428571
OG0010892,Kenli 10-1,China,operating,2015,CNOOC Limited,38.50735774,119.2016169,0.0861148,-20,8.521428571
OG0011299,Qinhuangdao 32-6,China,operating,2001,CNOOC Limited,39.2,117.5,0.0273132,5,8.764285714
OG0013915,Bozhong 19-6 (13-2),China,operating,2024,CNOOC Limited,38.55,119.2,0.0959215,-20,8.614285714
OG0013916,Penglai 25-6,China,operating,2020,CNOOC Limited,38.343739,120.137922,0.1379692,-20,8.828571429
OG0013949,Luda 5-2N,China,operating,2022,CNOOC Limited,39.9667,120.7832,0.0990629,-20,8.685714286
OG0013953,Kenli 16-1,China,operating,2021,"CNOOC (Dongying) Oilfield Development Co., Ltd.",38,118.75,0.0907817,5,9.2
OG0013959,Bozhong 8-4,China,discovered,NA,CNOOC Limited,39,119,0.0633746,-10,8.657142857
OG0013964,Kenli 6-1,China,operating,2023,CNOOC Limited,37.75,119,0.107077,2,9.228571429
OG0013969,Bozhong 26-3 Expansion,China,operating,2021,CNOOC Limited,38.50735774,119.2016169,0.0861148,-20,8.521428571
OG0013970,Luda 4-2,China,operating,2005,CNOOC Limited,39.95,120.85,0.0990629,-20,8.685714286
OG0017561,Pinghu,China,operating,1998,Shanghai Oil and Gas Operating Company Limited,28.487,125.003,1.9884305,-100,8.307142857
OG0018017,Suizhong 36-1,China,operating,1993,CNOOC Limited,39.9501,120.836,0.0990629,-20,8.685714286
OG0020813,Qinhuangdao 27-3,China,discovered,NA,CNOOC Limited,39.71602,120.05535,0.1007924,-20,8.728571429
OG0020822,Chengdao,China,operating,1993,Sinopec Shengli Oilfield Company,38.14579,119.08387,0.093846,-10,8.942857143
OG0021288,Bozhong 34-1,China,operating,2007,CNOOC Limited,38.15999574,119.5550592,0.0908187,-10,8.857142857
OG0021291,Bozhong 28-2 S Redjustment,China,operating,2023,CNOOC Limited,38.084111,119.549747,0.0969457,-10,8.971428571
OG0020063,North Bjarni,Canada,discovered,NA,ConocoPhillips,55.589197,-57.755698,0.0181182,-100,1.392857143
